id_article	start_date	end_date	journal	source	target	weight
440227	02/01/2012	02/01/2012	mo	PSE	PSE	1
440228	02/01/2012	02/01/2012	mo	NGA	NGA	1
440229	02/01/2012	02/01/2012	mo	MAR	MAR	1
440230	02/01/2012	02/01/2012	mo	HUN	HUN	1
440231	02/01/2012	02/01/2012	mo	IRN	IRN	1
440262	02/01/2012	02/01/2012	mo	MEX	MEX	1
440263	02/01/2012	02/01/2012	mo	AGO	AGO	0.0204081633
440263	02/01/2012	02/01/2012	mo	GHA	AGO	0.0204081633
440263	02/01/2012	02/01/2012	mo	KEN	AGO	0.0204081633
440263	02/01/2012	02/01/2012	mo	MLI	AGO	0.0204081633
440263	02/01/2012	02/01/2012	mo	SEN	AGO	0.0204081633
440263	02/01/2012	02/01/2012	mo	SLE	AGO	0.0204081633
440263	02/01/2012	02/01/2012	mo	ZWE	AGO	0.0204081633
440263	02/01/2012	02/01/2012	mo	AGO	GHA	0.0204081633
440263	02/01/2012	02/01/2012	mo	GHA	GHA	0.0204081633
440263	02/01/2012	02/01/2012	mo	KEN	GHA	0.0204081633
440263	02/01/2012	02/01/2012	mo	MLI	GHA	0.0204081633
440263	02/01/2012	02/01/2012	mo	SEN	GHA	0.0204081633
440263	02/01/2012	02/01/2012	mo	SLE	GHA	0.0204081633
440263	02/01/2012	02/01/2012	mo	ZWE	GHA	0.0204081633
440263	02/01/2012	02/01/2012	mo	AGO	KEN	0.0204081633
440263	02/01/2012	02/01/2012	mo	GHA	KEN	0.0204081633
440263	02/01/2012	02/01/2012	mo	KEN	KEN	0.0204081633
440263	02/01/2012	02/01/2012	mo	MLI	KEN	0.0204081633
440263	02/01/2012	02/01/2012	mo	SEN	KEN	0.0204081633
440263	02/01/2012	02/01/2012	mo	SLE	KEN	0.0204081633
440263	02/01/2012	02/01/2012	mo	ZWE	KEN	0.0204081633
440263	02/01/2012	02/01/2012	mo	AGO	MLI	0.0204081633
440263	02/01/2012	02/01/2012	mo	GHA	MLI	0.0204081633
440263	02/01/2012	02/01/2012	mo	KEN	MLI	0.0204081633
440263	02/01/2012	02/01/2012	mo	MLI	MLI	0.0204081633
440263	02/01/2012	02/01/2012	mo	SEN	MLI	0.0204081633
440263	02/01/2012	02/01/2012	mo	SLE	MLI	0.0204081633
440263	02/01/2012	02/01/2012	mo	ZWE	MLI	0.0204081633
440263	02/01/2012	02/01/2012	mo	AGO	SEN	0.0204081633
440263	02/01/2012	02/01/2012	mo	GHA	SEN	0.0204081633
440263	02/01/2012	02/01/2012	mo	KEN	SEN	0.0204081633
440263	02/01/2012	02/01/2012	mo	MLI	SEN	0.0204081633
440263	02/01/2012	02/01/2012	mo	SEN	SEN	0.0204081633
440263	02/01/2012	02/01/2012	mo	SLE	SEN	0.0204081633
440263	02/01/2012	02/01/2012	mo	ZWE	SEN	0.0204081633
440263	02/01/2012	02/01/2012	mo	AGO	SLE	0.0204081633
440263	02/01/2012	02/01/2012	mo	GHA	SLE	0.0204081633
440263	02/01/2012	02/01/2012	mo	KEN	SLE	0.0204081633
440263	02/01/2012	02/01/2012	mo	MLI	SLE	0.0204081633
440263	02/01/2012	02/01/2012	mo	SEN	SLE	0.0204081633
440263	02/01/2012	02/01/2012	mo	SLE	SLE	0.0204081633
440263	02/01/2012	02/01/2012	mo	ZWE	SLE	0.0204081633
440263	02/01/2012	02/01/2012	mo	AGO	ZWE	0.0204081633
440263	02/01/2012	02/01/2012	mo	GHA	ZWE	0.0204081633
440263	02/01/2012	02/01/2012	mo	KEN	ZWE	0.0204081633
440263	02/01/2012	02/01/2012	mo	MLI	ZWE	0.0204081633
440263	02/01/2012	02/01/2012	mo	SEN	ZWE	0.0204081633
440263	02/01/2012	02/01/2012	mo	SLE	ZWE	0.0204081633
440263	02/01/2012	02/01/2012	mo	ZWE	ZWE	0.0204081633
440264	02/01/2012	02/01/2012	mo	DEU	DEU	1
440265	02/01/2012	02/01/2012	mo	DZA	DZA	1
440266	02/01/2012	02/01/2012	mo	IRN	IRN	1
440294	02/01/2012	02/01/2012	mo	BHR	BHR	1
440296	02/01/2012	02/01/2012	mo	FRA	FRA	1
440298	02/01/2012	02/01/2012	mo	EGY	EGY	1
440338	02/01/2012	02/01/2012	mo	NGA	NGA	1
440372	02/01/2012	02/01/2012	mo	DZA	DZA	0.1111111111
440372	02/01/2012	02/01/2012	mo	FRA	DZA	0.1111111111
440372	02/01/2012	02/01/2012	mo	YEM	DZA	0.1111111111
440372	02/01/2012	02/01/2012	mo	DZA	FRA	0.1111111111
440372	02/01/2012	02/01/2012	mo	FRA	FRA	0.1111111111
440372	02/01/2012	02/01/2012	mo	YEM	FRA	0.1111111111
440372	02/01/2012	02/01/2012	mo	DZA	YEM	0.1111111111
440372	02/01/2012	02/01/2012	mo	FRA	YEM	0.1111111111
440372	02/01/2012	02/01/2012	mo	YEM	YEM	0.1111111111
440373	02/01/2012	02/01/2012	mo	AFG	AFG	1
440406	02/01/2012	02/01/2012	mo	CHN	CHN	1
440455	02/01/2012	02/01/2012	mo	HUN	HUN	1
440457	02/01/2012	02/01/2012	mo	IRQ	IRQ	0.25
440457	02/01/2012	02/01/2012	mo	USA	IRQ	0.25
440457	02/01/2012	02/01/2012	mo	IRQ	USA	0.25
440457	02/01/2012	02/01/2012	mo	USA	USA	0.25
440497	02/01/2012	02/01/2012	mo	RUS	RUS	0.25
440497	02/01/2012	02/01/2012	mo	USA	RUS	0.25
440497	02/01/2012	02/01/2012	mo	RUS	USA	0.25
440497	02/01/2012	02/01/2012	mo	USA	USA	0.25
440577	02/01/2012	02/01/2012	mo	DEU	DEU	1
440578	02/01/2012	02/01/2012	mo	LBY	LBY	1
440636	02/01/2012	02/01/2012	mo	HUN	HUN	1
440685	02/01/2012	02/01/2012	mo	MEX	MEX	1
440327	02/01/2012	02/01/2012	ft	KOR	KOR	1
440522	02/01/2012	02/01/2012	ft	ESP	ESP	1
440523	02/01/2012	02/01/2012	ft	IND	IND	1
440524	02/01/2012	02/01/2012	ft	GBR	GBR	1
440563	02/01/2012	02/01/2012	ft	CHN	CHN	1
440668	02/01/2012	02/01/2012	ft	RUS	RUS	0.25
440668	02/01/2012	02/01/2012	ft	USA	RUS	0.25
440668	02/01/2012	02/01/2012	ft	RUS	USA	0.25
440668	02/01/2012	02/01/2012	ft	USA	USA	0.25
440669	02/01/2012	02/01/2012	ft	IRN	IRN	1
440711	02/01/2012	02/01/2012	ft	ITA	ITA	1
440712	02/01/2012	02/01/2012	ft	HUN	HUN	1
440780	02/01/2012	02/01/2012	ft	TUR	TUR	1
440815	02/01/2012	02/01/2012	ft	USA	USA	1
440816	02/01/2012	02/01/2012	ft	MMR	MMR	1
440024	02/01/2012	02/01/2012	ti	NZL	NZL	1
440025	02/01/2012	02/01/2012	ti	IRN	IRN	1
440026	02/01/2012	02/01/2012	ti	PAK	PAK	0.25
440026	02/01/2012	02/01/2012	ti	USA	PAK	0.25
440026	02/01/2012	02/01/2012	ti	PAK	USA	0.25
440026	02/01/2012	02/01/2012	ti	USA	USA	0.25
440027	02/01/2012	02/01/2012	ti	AFG	AFG	1
440028	02/01/2012	02/01/2012	ti	GBR	GBR	0.25
440028	02/01/2012	02/01/2012	ti	IND	GBR	0.25
440028	02/01/2012	02/01/2012	ti	GBR	IND	0.25
440028	02/01/2012	02/01/2012	ti	IND	IND	0.25
440163	02/01/2012	02/01/2012	ti	FJI	FJI	1
440164	02/01/2012	02/01/2012	ti	GBR	GBR	0.25
440164	02/01/2012	02/01/2012	ti	IND	GBR	0.25
440164	02/01/2012	02/01/2012	ti	GBR	IND	0.25
440164	02/01/2012	02/01/2012	ti	IND	IND	0.25
440249	02/01/2012	02/01/2012	ti	IRN	IRN	1
440435	02/01/2012	02/01/2012	ti	IRN	IRN	0.25
440435	02/01/2012	02/01/2012	ti	PAK	IRN	0.25
440435	02/01/2012	02/01/2012	ti	IRN	PAK	0.25
440435	02/01/2012	02/01/2012	ti	PAK	PAK	0.25
440436	02/01/2012	02/01/2012	ti	IRN	IRN	1
440485	02/01/2012	02/01/2012	ti	AFG	AFG	0.1111111111
440485	02/01/2012	02/01/2012	ti	PAK	AFG	0.1111111111
440485	02/01/2012	02/01/2012	ti	USA	AFG	0.1111111111
440485	02/01/2012	02/01/2012	ti	AFG	PAK	0.1111111111
440485	02/01/2012	02/01/2012	ti	PAK	PAK	0.1111111111
440485	02/01/2012	02/01/2012	ti	USA	PAK	0.1111111111
440485	02/01/2012	02/01/2012	ti	AFG	USA	0.1111111111
440485	02/01/2012	02/01/2012	ti	PAK	USA	0.1111111111
440485	02/01/2012	02/01/2012	ti	USA	USA	0.1111111111
440525	02/01/2012	02/01/2012	ti	PAK	PAK	1
440606	02/01/2012	02/01/2012	ti	GBR	GBR	0.1111111111
440606	02/01/2012	02/01/2012	ti	IRQ	GBR	0.1111111111
440606	02/01/2012	02/01/2012	ti	USA	GBR	0.1111111111
440606	02/01/2012	02/01/2012	ti	GBR	IRQ	0.1111111111
440606	02/01/2012	02/01/2012	ti	IRQ	IRQ	0.1111111111
440606	02/01/2012	02/01/2012	ti	USA	IRQ	0.1111111111
440606	02/01/2012	02/01/2012	ti	GBR	USA	0.1111111111
440606	02/01/2012	02/01/2012	ti	IRQ	USA	0.1111111111
440606	02/01/2012	02/01/2012	ti	USA	USA	0.1111111111
439863	02/01/2012	02/01/2012	wp	CAN	CAN	0.1111111111
439863	02/01/2012	02/01/2012	wp	GRD	CAN	0.1111111111
439863	02/01/2012	02/01/2012	wp	VEN	CAN	0.1111111111
439863	02/01/2012	02/01/2012	wp	CAN	GRD	0.1111111111
439863	02/01/2012	02/01/2012	wp	GRD	GRD	0.1111111111
439863	02/01/2012	02/01/2012	wp	VEN	GRD	0.1111111111
439863	02/01/2012	02/01/2012	wp	CAN	VEN	0.1111111111
439863	02/01/2012	02/01/2012	wp	GRD	VEN	0.1111111111
439863	02/01/2012	02/01/2012	wp	VEN	VEN	0.1111111111
439864	02/01/2012	02/01/2012	wp	MEX	MEX	1
439945	02/01/2012	02/01/2012	wp	IND	IND	0.25
439945	02/01/2012	02/01/2012	wp	USA	IND	0.25
439945	02/01/2012	02/01/2012	wp	IND	USA	0.25
439945	02/01/2012	02/01/2012	wp	USA	USA	0.25
439946	02/01/2012	02/01/2012	wp	ARG	ARG	1
439947	02/01/2012	02/01/2012	wp	IRN	IRN	1
439948	02/01/2012	02/01/2012	wp	HTI	HTI	1
439949	02/01/2012	02/01/2012	wp	MEX	MEX	1
440041	02/01/2012	02/01/2012	wp	CUB	CUB	0.25
440041	02/01/2012	02/01/2012	wp	MEX	CUB	0.25
440041	02/01/2012	02/01/2012	wp	CUB	MEX	0.25
440041	02/01/2012	02/01/2012	wp	MEX	MEX	0.25
440101	02/01/2012	02/01/2012	wp	KOR	KOR	0.25
440101	02/01/2012	02/01/2012	wp	PRK	KOR	0.25
440101	02/01/2012	02/01/2012	wp	KOR	PRK	0.25
440101	02/01/2012	02/01/2012	wp	PRK	PRK	0.25
440103	02/01/2012	02/01/2012	wp	KOR	KOR	1
440165	02/01/2012	02/01/2012	wp	FJI	FJI	1
440224	02/01/2012	02/01/2012	wp	IND	IND	1
440225	02/01/2012	02/01/2012	wp	CHN	CHN	1
440226	02/01/2012	02/01/2012	wp	PHL	PHL	1
440259	02/01/2012	02/01/2012	wp	KEN	KEN	1
440291	02/01/2012	02/01/2012	wp	DEU	DEU	0.25
440291	02/01/2012	02/01/2012	wp	SYR	DEU	0.25
440291	02/01/2012	02/01/2012	wp	DEU	SYR	0.25
440291	02/01/2012	02/01/2012	wp	SYR	SYR	0.25
440292	02/01/2012	02/01/2012	wp	PAK	PAK	0.25
440292	02/01/2012	02/01/2012	wp	USA	PAK	0.25
440292	02/01/2012	02/01/2012	wp	PAK	USA	0.25
440292	02/01/2012	02/01/2012	wp	USA	USA	0.25
440293	02/01/2012	02/01/2012	wp	IRN	IRN	1
440334	02/01/2012	02/01/2012	wp	CHN	CHN	1
440335	02/01/2012	02/01/2012	wp	EGY	EGY	1
440369	02/01/2012	02/01/2012	wp	MMR	MMR	1
440370	02/01/2012	02/01/2012	wp	ISR	ISR	0.1111111111
440370	02/01/2012	02/01/2012	wp	PSE	ISR	0.1111111111
440370	02/01/2012	02/01/2012	wp	TUR	ISR	0.1111111111
440370	02/01/2012	02/01/2012	wp	ISR	PSE	0.1111111111
440370	02/01/2012	02/01/2012	wp	PSE	PSE	0.1111111111
440370	02/01/2012	02/01/2012	wp	TUR	PSE	0.1111111111
440370	02/01/2012	02/01/2012	wp	ISR	TUR	0.1111111111
440370	02/01/2012	02/01/2012	wp	PSE	TUR	0.1111111111
440370	02/01/2012	02/01/2012	wp	TUR	TUR	0.1111111111
440371	02/01/2012	02/01/2012	wp	AFG	AFG	0.25
440371	02/01/2012	02/01/2012	wp	PAK	AFG	0.25
440371	02/01/2012	02/01/2012	wp	AFG	PAK	0.25
440371	02/01/2012	02/01/2012	wp	PAK	PAK	0.25
440398	02/01/2012	02/01/2012	wp	IND	IND	1
440400	02/01/2012	02/01/2012	wp	MKD	MKD	1
440444	02/01/2012	02/01/2012	wp	KOR	KOR	0.25
440444	02/01/2012	02/01/2012	wp	PRK	KOR	0.25
440444	02/01/2012	02/01/2012	wp	KOR	PRK	0.25
440444	02/01/2012	02/01/2012	wp	PRK	PRK	0.25
440445	02/01/2012	02/01/2012	wp	IRQ	IRQ	1
440446	02/01/2012	02/01/2012	wp	FRA	FRA	0.25
440446	02/01/2012	02/01/2012	wp	YEM	FRA	0.25
440446	02/01/2012	02/01/2012	wp	FRA	YEM	0.25
440446	02/01/2012	02/01/2012	wp	YEM	YEM	0.25
440447	02/01/2012	02/01/2012	wp	IRN	IRN	0.25
440447	02/01/2012	02/01/2012	wp	USA	IRN	0.25
440447	02/01/2012	02/01/2012	wp	IRN	USA	0.25
440447	02/01/2012	02/01/2012	wp	USA	USA	0.25
440449	02/01/2012	02/01/2012	wp	GBR	GBR	1
440450	02/01/2012	02/01/2012	wp	IND	IND	1
440451	02/01/2012	02/01/2012	wp	GBR	GBR	0.25
440451	02/01/2012	02/01/2012	wp	IND	GBR	0.25
440451	02/01/2012	02/01/2012	wp	GBR	IND	0.25
440451	02/01/2012	02/01/2012	wp	IND	IND	0.25
440452	02/01/2012	02/01/2012	wp	ETH	ETH	0.0625
440452	02/01/2012	02/01/2012	wp	KEN	ETH	0.0625
440452	02/01/2012	02/01/2012	wp	SOM	ETH	0.0625
440452	02/01/2012	02/01/2012	wp	ZAF	ETH	0.0625
440452	02/01/2012	02/01/2012	wp	ETH	KEN	0.0625
440452	02/01/2012	02/01/2012	wp	KEN	KEN	0.0625
440452	02/01/2012	02/01/2012	wp	SOM	KEN	0.0625
440452	02/01/2012	02/01/2012	wp	ZAF	KEN	0.0625
